genus,species,id,latitude,longitude,locality,reproductive_mode,inaturalist
acanthoxyla,sp,acan-sp_1,-35.267483,173.294733,"Waitouhue Rd, en route to Takahue",asexual,no
acanthoxyla,sp,acan-sp_2,-35.65655,173.563267,"Waipoua Forest, hill south of DoC Forest HQ",asexual,no
acanthoxyla,sp,acan-sp_3,-35.720467,173.649333,Trounson Kauri Park,asexual,no
acanthoxyla,sp,acan-sp_4,-35.288017,174.09175,Paihia,asexual,no
acanthoxyla,sp,acan-sp_5,-35.922667,173.854383,"Dargaville, Memorial Park",asexual,no
acanthoxyla,sp,acan-sp_6,-36.360867,174.61335,"Dome Forest Walkway, north of Warkworth",asexual,no
acanthoxyla,sp,acan-sp_7,-36.361717,174.6132,Dome Valley Walkway,asexual,no
acanthoxyla,sp,acan-sp_8,-36.72345,174.691967,"Albany, Lucas Creek",asexual,no
acanthoxyla,sp,acan-sp_9,-37.003433,174.563083,Huia,asexual,no
acanthoxyla,sp,acan-sp_10,-36.881,174.853017,"Auckland, Tamaki, Don Merton Rd",asexual,no
acanthoxyla,sp,acan-sp_11,-36.888217,174.849567,Tamaki campus,asexual,no
acanthoxyla,sp,acan-sp_12,-36.8904,174.725967,"Mt Albert Research Centre, Mt Albert",asexual,no
acanthoxyla,sp,acan-sp_13,-36.903967,174.64045,"Henderson, Sunnyvale",asexual,no
acanthoxyla,sp,acan-sp_14,-36.9223,174.593867,"Auckland, Oratia Forest",asexual,no
acanthoxyla,sp,acan-sp_15,-36.848967,174.861517,"Auckland, St Heliers Bay",asexual,no
acanthoxyla,sp,acan-sp_16,-36.9649,174.613833,"Auckland, Parau Trk, Lower Nihotupu Reservoir",asexual,no
acanthoxyla,sp,acan-sp_17,-36.980217,174.919633,"Murphys Bush, Manurewa",asexual,no
acanthoxyla,sp,acan-sp_18,-37.009933,174.906483,"Botanic Gardens, Manurewa",asexual,no
acanthoxyla,sp,acan-sp_19,-36.215667,175.057933,"Little Barrier I, Flats",asexual,no
acanthoxyla,sp,acan-sp_20,-36.2252,175.078733,"Little Barrier I, Awaroa Stm",asexual,no
acanthoxyla,sp,acan-sp_21,-36.3,175.533333,"Great Barrier I, Little Windy Hill",asexual,no
acanthoxyla,sp,acan-sp_22,-36.166767,175.29935,Nelson I. (Great Barrier I),asexual,no
acanthoxyla,sp,acan-sp_23,-37.143133,175.65905,"Coromandel, Kopu-Hikuai Rd, SH25A",asexual,no
acanthoxyla,sp,acan-sp_24,-37.147983,175.673333,"Kopu-Hikuai, Coromandel summit carpark on East side",asexual,no
acanthoxyla,sp,acan-sp_25,-37.520333,175.728167,"Mt Te Aroha, bottom of road",asexual,no
acanthoxyla,sp,acan-sp_26,-38.415583,174.880283,"Mangaotaki Gorge, Piopio",asexual,no
acanthoxyla,sp,acan-sp_27,-37.859833,175.530667,"Cambridge, Maungakawa Scenic Reserve",asexual,no
acanthoxyla,sp,acan-sp_28,-37.853867,174.783467,"Mount Karioi, Pirongia State forest Park",asexual,no
acanthoxyla,sp,acan-sp_29,-37.907817,174.896767,Bridal Veil Falls,asexual,no
acanthoxyla,sp,acan-sp_30,-38.0544,175.562067,"Mt Maungatautari, southern enclosure",asexual,no
acanthoxyla,sp,acan-sp_31,-37.56285,178.15225,"Waenga Bush, Lottin Pt Rd",asexual,no
acanthoxyla,sp,acan-sp_32,-37.599933,178.29955,"Te Koau, Hicks Bay",asexual,no
acanthoxyla,sp,acan-sp_33,-38.080133,176.421917,"Lk Okataina, Trk off Lk Okataina Rd",asexual,no
acanthoxyla,sp,acan-sp_34,-37.6105,177.9611,Waiotuma Stm,asexual,no
acanthoxyla,sp,acan-sp_35,-37.98895,176.189417,"Te Pu, Mamaku",asexual,no
acanthoxyla,sp,acan-sp_36,-38.473333,175.5683,"Pureora Lodge, Loop Track, Karamarama Stream",asexual,no
acanthoxyla,sp,acan-sp_37,-38.5145,175.570167,"Pureora Forest, Caterpillar Tractor Track",asexual,no
acanthoxyla,sp,acan-sp_38,-39.003117,176.5538,"Napier-Taupo Road, rest area",asexual,no
acanthoxyla,sp,acan-sp_39,-39.027367,175.7451,"Tongariro Natl Pk, Tongariro, Lake Rotopounamu",asexual,no
acanthoxyla,sp,acan-sp_40,-39.393333,175.428333,"Ohakune Mountain Rd, Rimu Track",asexual,no
acanthoxyla,sp,acan-sp_41,-39.42945,175.464517,"Rangataua, Rangataua Scenic Reserve",asexual,no
acanthoxyla,sp,acan-sp_42,-39.43895,175.45405,"Mangaehuehu Scenic Res, SH49 roadside",asexual,no
acanthoxyla,sp,acan-sp_43,-37.68985,178.547217,East Cape lighthouse Trk,asexual,no
acanthoxyla,sp,acan-sp_44,-38.63285,177.032117,"Huiarau Ra, Taupepe Saddle, rest area at Huiarau summit",asexual,no
acanthoxyla,sp,acan-sp_45,-38.7443,177.161217,"Te Urewera Nat Pk, Lake Waikaremoana, Aniwaniwa, DoC HQ",asexual,no
acanthoxyla,sp,acan-sp_46,-38.756667,177.013333,"Lake Waikaremoana, Te Totara track",asexual,no
acanthoxyla,sp,acan-sp_47,-38.782833,177.135667,"Te Urewera Nat Pk, Lake Waikaremoana, Awaawaroa Stm, Maori Track",asexual,no
acanthoxyla,sp,acan-sp_48,-38.90345,174.59405,Mount Messenger,asexual,no
acanthoxyla,sp,acan-sp_49,-39.29725,174.479283,"Douglas Cottage, Ohura Road",asexual,no
acanthoxyla,sp,acan-sp_50,-39.325883,174.285933,Stratford,asexual,no
acanthoxyla,sp,acan-sp_51,-39.071667,174.078333,"New Plymouth, Hine Street",asexual,no
acanthoxyla,sp,acan-sp_52,-39.224767,173.9662,"Mt Taranaki, Junction of Carrington and Dover Rds",asexual,no
acanthoxyla,sp,acan-sp_53,-39.19932,173.97799,"Pukeiti, along Carrington Road, Egmont National Park",asexual,no
acanthoxyla,sp,acan-sp_54,-39.360717,174.513483,Tauwharenikau Valley,asexual,no
acanthoxyla,sp,acan-sp_55,-39.4331,175.378633,Ohakune Lakes Reserve,asexual,no
acanthoxyla,sp,acan-sp_56,-39.646783,175.721667,"Paengaroa Scenic Reserve, Mataroa, near Taihape",asexual,no
acanthoxyla,sp,acan-sp_57,-39.671983,175.794967,"Taihape, Mt Stewart",asexual,no
acanthoxyla,sp,acan-sp_58,-39.762267,176.040233,"Rangitane, Kawhatau Base, Ruahine State Forest Pk                      ",asexual,no
acanthoxyla,sp,acan-sp_59,-40.371967,175.6224,"Palmerston North, The Esplanade",asexual,no
acanthoxyla,sp,acan-sp_60,-40.194633,176.085217,Dannevirke,asexual,no
acanthoxyla,sp,acan-sp_61,-40.424017,176.226317,"4.7km N of Waihi Valley Rd, on road from Waipatiki to Waimiro",asexual,no
acanthoxyla,sp,acan-sp_62,-40.420167,176.03155,"Waewaepa Scenic Res., Puketoi Ra",asexual,no
acanthoxyla,sp,acan-sp_63,-40.559583,176.054583,"Puketoi Ra, Pahiatua-Pongaroa Rd, NE of Makuri, 6.7km N of road JCT in Makuri",asexual,no
acanthoxyla,sp,acan-sp_64,-40.7735,176.044617,"11.4 km NW of Tinui, on road to Eketahuna",asexual,no
acanthoxyla,sp,acan-sp_65,-40.865817,176.145333,"Tinui, 3.0 km east of junction of Castle Point Rd and Tinui Vly Rd",asexual,no
acanthoxyla,sp,acan-sp_66,-40.900483,175.468167,"Donnelley's clearing Trk, Mt Holdsworth",asexual,no
acanthoxyla,sp,acan-sp_67,-40.993233,175.50235,"Fensham Scenic Reserve, Carterton",asexual,no
acanthoxyla,sp,acan-sp_68,-1547.166667,1019.333333,Mt Holdsworth,asexual,no
acanthoxyla,sp,acan-sp_69,-41.028217,175.95685,Ngaumu State Forest,asexual,no
acanthoxyla,sp,acan-sp_70,-41.410267,175.364667,"Waikuku Lodge, Haurangi Mountains",asexual,no
acanthoxyla,sp,acan-sp_71,-41.420183,175.357617,"Sutherland Vehicle Trk, Turanganui River East branch, Haurangi Mountains",asexual,no
acanthoxyla,sp,acan-sp_72,-40.8276,174.94515,Nth end of Kapiti Is,asexual,no
acanthoxyla,sp,acan-sp_73,-41.10565,175.291467,"Abbotts Creek, Rimutaka Hill Rd",asexual,no
acanthoxyla,sp,acan-sp_74,-41.277333,174.755333,"Wellington, Northland, Creswick Tce",asexual,no
acanthoxyla,sp,acan-sp_75,-41.26715,174.757483,"Wellington, Otari-Wiltons Bush",asexual,no
acanthoxyla,sp,acan-sp_76,-41.2955,174.826167,"Wellington, Miramar, 164 Nevay Rd",asexual,no
acanthoxyla,sp,acan-sp_77,-41.302183,174.72145,"South Karori Rd, Bargh farm",asexual,no
acanthoxyla,sp,acan-sp_78,-41.0701,175.233617,"Rimutaka Forest Pk, Kaitoke, Smiths Creek Trk",asexual,no
acanthoxyla,sp,acan-sp_79,-41.104167,175.082433,"Totara Pk, Upper Hutt Rover Rd",asexual,no
acanthoxyla,sp,acan-sp_80,-41.3394,174.978883,"Orongorongo River Valley, Rimutaka State Forest Pk",asexual,no
acanthoxyla,sp,acan-sp_81,-41.348133,174.928167,"Catchpool Valley, Rimutaka Forest Pk",asexual,no
acanthoxyla,sp,acan-sp_82,-41.127917,174.1413,"Queen Charlotte Track, Kenepuru Saddle, manuka forest",asexual,no
acanthoxyla,sp,acan-sp_83,-41.2719,173.905867,"Top Cottage (Vallence residence), near Anakiwa",asexual,no
acanthoxyla,sp,acan-sp_84,-40.619883,172.54765,"Whanganui Inlet, Kaituna Track",asexual,no
acanthoxyla,sp,acan-sp_85,-40.7097,172.364483,Anatori River Valley,asexual,no
acanthoxyla,sp,acan-sp_86,-40.769033,172.706917,Washbourn Scenic Reserve,asexual,no
acanthoxyla,sp,acan-sp_87,-41.364817,173.081717,"Brightwater, Nelson",asexual,no
acanthoxyla,sp,acan-sp_88,-41.393167,173.183733,"Nelson, Roding",asexual,no
acanthoxyla,sp,acan-sp_89,-41.220483,173.569183,"Rai, Nelson",asexual,no
acanthoxyla,sp,acan-sp_90,-41.240167,173.321167,"Nelson City, Atawhai",asexual,no
acanthoxyla,sp,acan-sp_91,-41.300783,173.571917,Pelorus Bridge,asexual,no
acanthoxyla,sp,acan-sp_92,-41.70301667,173.8705333,"Awatere Valley, Blairich Station, Black Birch Stream",asexual,no
acanthoxyla,sp,acan-sp_93,-42.259583,173.810533,"Halfmoon Bay Track head, along SH1",asexual,no
acanthoxyla,sp,acan-sp_94,-41.815683,171.6005,"Hwy 6 near Westport, turnoff for Buckland Peaks Track (KM025)",asexual,no
acanthoxyla,sp,acan-sp_95,-42.102083,171.40155,"Bullock Creek, Punakaiki",asexual,no
acanthoxyla,sp,acan-sp_96,-42.346233,171.386917,"Blackball, Blackball Rd",asexual,no
acanthoxyla,sp,acan-sp_97,-42.40865,171.257733,"Runanga, Coal Creek Walkway",asexual,no
acanthoxyla,sp,acan-sp_98,-43.2254,170.155517,"Okarito, Okarito Trig Walk",asexual,no
acanthoxyla,sp,acan-sp_99,-43.23975,170.127167,"Three Mile Lagoon Trk, Okarito",asexual,no
acanthoxyla,sp,acan-sp_100,-43.381,170.162483,Canavans Knob,asexual,no
acanthoxyla,sp,acan-sp_101,-43.911583,168.897783,"Hapuka Estuary, Okuru",asexual,no
acanthoxyla,sp,acan-sp_102,-43.941517,169.2968,"Roadside, 1-2 km east of track to Roaring Billy Falls, SH6",asexual,no
acanthoxyla,sp,acan-sp_103,-43.970583,168.6113,"Jacksons Bay, Wharekai-Tekou walk",asexual,no
acanthoxyla,sp,acan-sp_104,-44.117433,168.540017,"Red Hills, Jackson River Rd",asexual,no
acanthoxyla,sp,acan-sp_105,-45.858333,170.538333,"Dunedin, Dunedin water works",asexual,no
acanthoxyla,sp,acan-sp_106,-45.926167,170.029833,"Waipori Falls Rd, second picnic area",asexual,no
acanthoxyla,sp,acan-sp_107,-44.705117,167.96965,"Milford, Gulliver River Valley, Graves-Talbot Trk",asexual,no
acanthoxyla,sp,acan-sp_108,-45.193167,167.833767,"Te Anau Downs, roadside, 44 km S of Knobs Flat, SH94",asexual,no
acanthoxyla,sp,acan-sp_109,-45.23565,167.81295,"Te Anau Downs, Henry Creek",asexual,no
acanthoxyla,sp,acan-sp_110,-45.441017,167.686483,"Te Anau, Te Anau Control Gates",asexual,no
acanthoxyla,sp,acan-sp_111,-45.990217,167.383217,Lake Hauroko jetty,asexual,no
acanthoxyla,sp,acan-sp_112,-46.347583,167.854817,"Lake George, west of Riverton",asexual,no
acanthoxyla,sp,acan-sp_113,-46.353667,168.007433,"Riverton, Riverton Railway Bridge",asexual,no
acanthoxyla,sp,acan-sp_114,-46.473333,168.293333,"Sandy Point, Daffodil Bay",asexual,no
acanthoxyla,sp,acan-sp_115,-46.552817,169.47445,"The Catlins, Papatowai, Old Coach Rd",asexual,no
acanthoxyla,sp,acan-sp_116,-46.6135,168.3535,"Bluff, Glory Trk",asexual,no
acanthoxyla,sp,acan-sp_117,-46.9011,168.125983,"Stewart I, Oban, Excelsior Rd",asexual,no
acanthoxyla,sp,acan-sp_118,-46.926017,168.131317,Ulva Island,asexual,no
acanthoxyla,sp,acan-sp_119,-47.229667,167.553833,"Port Pegasus, Head of Sylvan Cove",asexual,no
acanthoxyla,sp,acan-sp_120,-35.5625,174.49945,Whale Bay,asexual,no
acanthoxyla,sp,acan-sp_121,-37.56285,178.15225,"Waenga Bush, Lottin Pt Rd",asexual,no
acanthoxyla,sp,acan-sp_122,-37.606367,178.153883,"Waiaroho, East Cape",asexual,no
acanthoxyla,sp,acan-sp_123,-44.3371,168.007283,"Martins Bay, along track to seal colony",asexual,no
acanthoxyla,sp,acan-sp_124,-45.691433,166.715783,"Dusky Sound, Resolution Is",asexual,no
acanthoxyla,sp,acan-sp_125,-46.027467,166.539067,"Chalky Inlet, Passage Is",asexual,no
acanthoxyla,sp,acan-sp_126,-39.85725,176.900867,"Mohi Bush [Reserve], fork of Tk ",asexual,no
acanthoxyla,sp,acan-sp_127,-43.760067,169.1491,Ship Creek,asexual,no
acanthoxyla,sp,acan-sp_128,-39.318233,176.535417,"Puketitiri, Little Bush Res",asexual,no
acanthoxyla,sp,acan-sp_129,-38.46675,178.049633,Waimata Valley,asexual,no
acanthoxyla,sp,acan-sp_130,-39.124283,177.875233,Mahia Peninsula,asexual,no
acanthoxyla,sp,acan-sp_131,-42.4297,171.295883,Sewell Peak,asexual,no
acanthoxyla,sp,acan-sp_132,-43.4857,172.68725,Travis Wetland,asexual,no
acanthoxyla,sp,acan-sp_133,-40.907517,172.85455,Rameka,asexual,no
acanthoxyla,sp,acan-sp_134,-34.47249973,172.7644164,Te Paki,sexual,no
argosarchus,horridus,argo-sp_1,-36.21805,175.0546333,Hauturu,sexual,no
argosarchus,horridus,argo-sp_2,-36.53451667,175.3995667,"Mt Moehau, Coromandel Pen.",sexual,no
argosarchus,horridus,argo-sp_3,-36.5434,175.4093667,Mount Moehau,sexual,no
argosarchus,horridus,argo-sp_4,-36.87255,175.53975,Mahakirau,sexual,no
argosarchus,horridus,argo-sp_5,-37.56513333,178.1517333,"Lottin Pt Rd, Waenga Bush",sexual,no
argosarchus,horridus,argo-sp_6,-37.59993333,178.29955,"Te Koau, Hicks Bay",sexual,no
argosarchus,horridus,argo-sp_7,-37.64496667,178.3043,"Karakatuwhero Valley, Waipiata",sexual,no
argosarchus,horridus,argo-sp_8,-37.68333333,177.8833333,Pohueroro,sexual,no
argosarchus,horridus,argo-sp_9,-37.68985,178.5472167,East Cape lighthouse Trk,sexual,no
argosarchus,horridus,argo-sp_10,-37.98693333,176.189,"Te Pu, Mamakus",sexual,no
argosarchus,horridus,argo-sp_11,-38.5169,175.5817667,Caterpillar Track,sexual,no
argosarchus,horridus,argo-sp_12,-38.56645,175.7178,"Kakaho, Puerora",sexual,no
argosarchus,horridus,argo-sp_13,-38.63285,177.0321167,Huiarau Saddle,sexual,no
argosarchus,horridus,argo-sp_14,-38.65233333,178.0331,Gisborne,sexual,no
argosarchus,horridus,argo-sp_15,-38.78296667,177.1357,Maori Track,sexual,no
argosarchus,horridus,argo-sp_16,-38.11666667,176.2166667,Rotorua,sexual,no
argosarchus,horridus,argo-sp_17,-39.00311667,176.5538,Napier-Taupo Road,sexual,no
argosarchus,horridus,argo-sp_18,-39.0203,174.7994667,Tahora,sexual,no
argosarchus,horridus,argo-sp_19,-39.104305,176.80325,Boundary Stream,sexual,no
argosarchus,horridus,argo-sp_20,-39.02926667,174.25535,"Otaraoa, Taranaki",sexual,no
argosarchus,horridus,argo-sp_21,-39.29725,174.4792833,Douglas,sexual,no
argosarchus,horridus,argo-sp_22,-39.318833,176.538167,"Puketitiri, Little Bush Res.",sexual,no
argosarchus,horridus,argo-sp_23,-39.32553333,174.2966333,Stratford,sexual,no
argosarchus,horridus,argo-sp_24,-39.3946,175.4271333,Rimu Track,sexual,no
argosarchus,horridus,argo-sp_25,-39.43375,175.3764667,Ohakune Lakes,sexual,no
argosarchus,horridus,argo-sp_26,-39.43841667,175.4539667,Mangaehuehue Reserve,sexual,no
argosarchus,horridus,argo-sp_27,-39.64491667,175.7138333,Paengaroa,sexual,no
argosarchus,horridus,argo-sp_28,-39.67198333,175.7949667,Mt Stewart,sexual,no
argosarchus,horridus,argo-sp_29,-39.72693333,175.1386333,Atene Skyline,sexual,no
argosarchus,horridus,argo-sp_30,-39.796611,176.194611,"E Ruahine Forest, Swamp Tk (Sunrise)",sexual,no
argosarchus,horridus,argo-sp_31,-39.79608333,174.9269167,Bushy Park,sexual,no
argosarchus,horridus,argo-sp_32,-39.961,176.0140167,Oroua River,sexual,no
argosarchus,horridus,argo-sp_33,-40.00783333,176.1778667,Makaretu,sexual,no
argosarchus,horridus,argo-sp_34,-40.0828,175.9066667,Kahikatea Walk,sexual,no
argosarchus,horridus,argo-sp_35,-40.37091667,175.6329167,Palmerston North,sexual,no
argosarchus,horridus,argo-sp_36,-40.37173333,175.61485,Palmerston North,sexual,no
argosarchus,horridus,argo-sp_37,-40.42016667,176.03155,Waewaepa,sexual,no
argosarchus,horridus,argo-sp_38,-40.56205,176.0560667,Puketoi,sexual,no
argosarchus,horridus,argo-sp_39,-40.61816667,175.4818833,Mangaore Dam,sexual,no
argosarchus,horridus,argo-sp_40,-40.6414,172.4818833,"Mangarakau, West Haven, Nelson",sexual,no
argosarchus,horridus,argo-sp_41,-40.70548333,175.6552667,W.A. Miller,sexual,no
argosarchus,horridus,argo-sp_42,-40.7744,175.6173167,Mount Bruce,sexual,no
argosarchus,horridus,argo-sp_43,-40.09168333,175.8295167,Ruahine,sexual,no
argosarchus,horridus,argo-sp_44,-40.85201667,174.9284167,Kapiti,sexual,no
argosarchus,horridus,argo-sp_45,-40.86075,175.8726833,Bideford,sexual,no
argosarchus,horridus,argo-sp_46,-40.99323333,175.50235,Fensham,sexual,no
argosarchus,horridus,argo-sp_47,-41.06081667,175.6038833,Carterton Res,sexual,no
argosarchus,horridus,argo-sp_48,-41.10565,175.2914667,Abbots Creek,sexual,no
argosarchus,horridus,argo-sp_49,-41.24568333,174.7945667,Kandallah,sexual,no
argosarchus,horridus,argo-sp_50,-41.24596667,174.7968333,"Wellington, Khandallah",sexual,no
argosarchus,horridus,argo-sp_51,-41.25116667,174.7808667,"Ngaio, Wellington",sexual,no
argosarchus,horridus,argo-sp_52,-41.26715,174.7574833,Wiltons Bush,sexual,no
argosarchus,horridus,argo-sp_53,-41.26863333,173.29205,Nelson,asexual,no
argosarchus,horridus,argo-sp_54,-41.30678333,174.8993,"Butterfly Ck, Wellington",sexual,no
argosarchus,horridus,argo-sp_55,-41.34708333,174.9694333,Orongorongo,sexual,no
argosarchus,horridus,argo-sp_56,-41.34795,174.9315167,Catchpool Valley,sexual,no
argosarchus,horridus,argo-sp_57,-41.37463333,173.1032333,"Brightwater, Nelson",asexual,no
argosarchus,horridus,argo-sp_58,-41.0817,175.3552167,Featherston,sexual,no
argosarchus,horridus,argo-sp_59,-41.7999,172.3284,Murchison,asexual,no
argosarchus,horridus,argo-sp_60,-41.96811667,173.9835833,"Kekerengu Valley Rd Site 1, Kaikoura",asexual,no
argosarchus,horridus,argo-sp_61,-41.96981667,173.9862167,"Kekerengu Valley Rd Site 2, Kaikoura",asexual,no
argosarchus,horridus,argo-sp_62,-41.13903333,174.82755,Porirua,sexual,no
argosarchus,horridus,argo-sp_63,-42.28621667,173.7304,Puhipuhi,asexual,no
argosarchus,horridus,argo-sp_64,-42.38351667,173.44845,Kahutara River,asexual,no
argosarchus,horridus,argo-sp_65,-42.4297,171.2958833,Sewell Peak,asexual,no
argosarchus,horridus,argo-sp_66,-42.51403333,173.5024,"Oaro, N.Canty.",asexual,no
argosarchus,horridus,argo-sp_67,-41.7032,173.8703,Blackbirch Stream,asexual,no
argosarchus,horridus,argo-sp_68,-42.763,171.4333833,Taipo River Valley,asexual,no
argosarchus,horridus,argo-sp_69,-43.63211667,172.62575,Kennedys Bush,asexual,no
argosarchus,horridus,argo-sp_70,-43.76636667,172.7146,Prices Bush,asexual,no
argosarchus,horridus,argo-sp_71,-43.8897,171.26045,Peel Forest,asexual,no
argosarchus,horridus,argo-sp_72,-44.0012,171.1505333,Waihi Gorge,asexual,no
argosarchus,horridus,argo-sp_73,-44.1844,169.2662167,Brady Creek,asexual,no
argosarchus,horridus,argo-sp_74,-44.34408333,170.8413167,Pareora Reserve,asexual,no
argosarchus,horridus,argo-sp_75,-44.44105,169.2712,Kidds Bush,asexual,no
argosarchus,horridus,argo-sp_76,-44.66473333,170.9727333,Gunns Bush,asexual,no
argosarchus,horridus,argo-sp_77,-44.6796,167.96325,Cleddau Valley,asexual,no
argosarchus,horridus,argo-sp_78,-44.92313333,168.0406167,Eglinton,asexual,no
argosarchus,horridus,argo-sp_79,-45.43998333,167.68555,Te Anau Control Gates,sexual,no
argosarchus,horridus,argo-sp_80,-45.06666667,168.5454167,Twelve Mile Delta,asexual,no
argosarchus,horridus,argo-sp_81,-45.80799,167.52545,Lk Monowai Rd,asexual,no
argosarchus,horridus,argo-sp_82,-45.88163333,170.5508667,The Cove,asexual,no
argosarchus,horridus,argo-sp_83,-45.92663333,170.0296833,Waipori Falls,asexual,no
argosarchus,horridus,argo-sp_84,-45.99021667,167.3832167,Lake Hauroko,asexual,no
argosarchus,horridus,argo-sp_85,-46.0065,168.4326,The Cone Forest,asexual,no
argosarchus,horridus,argo-sp_86,-46.35366667,168.0074333,Riverton Bridge,sexual,no
argosarchus,horridus,argo-sp_87,-37.14344645,175.6596612,Corromandel,sexual,no
argosarchus,horridus,argo-sp_88,-37.42871268,175.7283339,Karangahake Gorge,sexual,no
argosarchus,horridus,argo-sp_89,-35.614445,174.21666,Whangarei,sexual,yes
argosarchus,horridus,argo-sp_90,-38.00246,175.575633,Mangatautari,sexual,yes
argosarchus,horridus,argo-sp_91,-38.937498,175.748709,Tokaanu,sexual,yes
argosarchus,horridus,argo-sp_92,-39.088058,174.060139,New Plymouth,sexual,yes
argosarchus,horridus,argo-sp_93,-39.687322,176.896318,Havelock North,sexual,yes
argosarchus,horridus,argo-sp_94,-40.00796,176.177788,Central Hawkes Bay,sexual,yes
argosarchus,horridus,argo-sp_95,-40.091785,175.829401,Manawatu,sexual,yes
argosarchus,horridus,argo-sp_96,-40.182692,175.824048,Manawatu,sexual,yes
argosarchus,horridus,argo-sp_97,-40.173898,175.883189,Manawatu,sexual,yes
argosarchus,horridus,argo-sp_98,-40.542235,176.194537,Tararua,sexual,yes
argosarchus,horridus,argo-sp_99,-41.527433,173.971375,Blenheim,asexual,yes
argosarchus,horridus,argo-sp_100,-43.438163,172.576278,Waimakiriri,asexual,yes
argosarchus,horridus,argo-sp_101,-43.640955,172.477023,Lincoln,asexual,yes
argosarchus,horridus,argo-sp_102,-43.714741,172.749573,Kaituna Valley,asexual,yes
argosarchus,horridus,argo-sp_103,-45.635641,170.653796,"Karitane, nr Dunedin",asexual,yes
clitarchus,tepaki,clit-tepa_1,-34.407783,173.007183,North Cape Scientific Reserve,sexual,no
clitarchus,tepaki,clit-tepa_2,-34.430017,172.8667,Spirits Bay,sexual,no
clitarchus,tepaki,clit-tepa_3,-34.456383,172.98735,"Waikuku Flat, Tom Bowling Bay",sexual,no
clitarchus,tepaki,clit-tepa_4,-34.4725,172.764417,"Kauri Bush, Te Paki",sexual,no
clitarchus,tepaki,clit-tepa_5,-34.473183,172.764033,"Kauri Bush Trk, Te Paki",sexual,no
clitarchus,tepaki,clit-tepa_6,-34.483333,172.816667,"Trk from Papawiri to Kohuranaki, Te Paki Rec Res",sexual,no
clitarchus,tepaki,clit-tepa_7,-34.4914,172.836517,"Kohuranaki, Te Paki",sexual,no
clitarchus,tepaki,clit-tepa_8,-34.539867,172.92015,"Parengarenga, Paua",sexual,no
clitarchus,tepaki,clit-tepa_9,-34.559417,172.837717,Karatia Rd,sexual,no
clitarchus,rakauwhakanekeneke,clit-raka_1,-35.48060503,174.7437284,Aorangi,sexual,no
clitarchus,rakauwhakanekeneke,clit-raka_2,-35.45391226,174.7390467,Tawhiti Rahi,sexual,no
clitarchus,hookeri,clit-hook_1,-34.79785,173.0648,Trig Rd,sexual,no
clitarchus,hookeri,clit-hook_2,-34.943,173.195183,Heath Rd,sexual,no
clitarchus,hookeri,clit-hook_3,-35.027033,173.198917,Lake Ngatu,sexual,no
clitarchus,hookeri,clit-hook_4,-35.13685,173.879583,"Junction of SH10 and Takou Bay Rd, 2 km N of Te Whau, Kerikeri",sexual,no
clitarchus,hookeri,clit-hook_5,-35.1581,173.42535,"Mangamuka Gorge Scenic Reserve, roadside",sexual,no
clitarchus,hookeri,clit-hook_6,-35.184483,173.1219,"Ahipara, road to Gumlands",sexual,no
clitarchus,hookeri,clit-hook_7,-35.205,173.183583,"Herekino Gorge, Kaitaia Awaroa Rd",sexual,no
