genus,species,id,latitude,longitude,locality,qual,,,,,
argosarchus,sp,argo-sp_1,-36.21805,175.0546333,Hauturu,g,,,,,
argosarchus,sp,argo-sp_2,-36.53451667,175.3995667,"Mt Moehau, Coromandel Pen.",g,,,,,
argosarchus,sp,argo-sp_3,-36.5434,175.4093667,Mount Moehau,g,,,,,
argosarchus,sp,argo-sp_4,-36.87255,175.53975,Mahakirau,g,,,,,
argosarchus,sp,argo-sp_5,-37.56513333,178.1517333,"Lottin Pt Rd, Waenga Bush",g,,,,,
argosarchus,sp,argo-sp_6,-37.59993333,178.29955,"Te Koau, Hicks Bay",g,,,,,
argosarchus,sp,argo-sp_7,-37.64496667,178.3043,"Karakatuwhero Valley, Waipiata",g,,,,,
argosarchus,sp,argo-sp_8,-37.68333333,177.8833333,Pohueroro,g,,,,,
argosarchus,sp,argo-sp_9,-37.68985,178.5472167,East Cape lighthouse Trk,g,,,       ,,
argosarchus,sp,argo-sp_10,-37.98693333,176.189,"Te Pu, Mamakus",g,,,       ,,
argosarchus,sp,argo-sp_11,-38.5169,175.5817667,Caterpillar Track,g,,       ,,,
argosarchus,sp,argo-sp_12,-38.56645,175.7178,"Kakaho, Puerora",g,,       ,,,
argosarchus,sp,argo-sp_13,-38.63285,177.0321167,Huiarau Saddle,g,,       ,,,
argosarchus,sp,argo-sp_14,-38.65233333,178.0331,Gisborne,g,       ,       ,,,
argosarchus,sp,argo-sp_15,-38.78296667,177.1357,Maori Track,g,       ,       ,,,
argosarchus,sp,argo-sp_16,-38.11666667,176.2166667,Rotorua,g,       ,       ,,,
argosarchus,sp,argo-sp_17,-39.00311667,176.5538,Napier-Taupo Road,g,,,,,
argosarchus,sp,argo-sp_18,-39.0203,174.7994667,Tahora,g,,,,,
argosarchus,sp,argo-sp_19,-39.104305,176.80325,Boundary Stream,g,,       ,,,
argosarchus,sp,argo-sp_20,-39.02926667,174.25535,"Otaraoa, Taranaki",g,,       ,,,
argosarchus,sp,argo-sp_21,-39.29725,174.4792833,Douglas,g,,       ,,,
argosarchus,sp,argo-sp_22,-39.318833,176.538167,"Puketitiri, Little Bush Res.",g,,       ,,,
argosarchus,sp,argo-sp_23,-39.32553333,174.2966333,Stratford,g,,       ,,,
argosarchus,sp,argo-sp_24,-39.3946,175.4271333,Rimu Track,g,,,,,
argosarchus,sp,argo-sp_25,-39.43375,175.3764667,Ohakune Lakes,g,,,,,
argosarchus,sp,argo-sp_26,-39.43841667,175.4539667,Mangaehuehue Reserve,g,,,,,
argosarchus,sp,argo-sp_27,-39.64491667,175.7138333,Paengaroa,g,,,,,
argosarchus,sp,argo-sp_28,-39.67198333,175.7949667,Mt Stewart,g,,       ,,,       
argosarchus,sp,argo-sp_29,-39.72693333,175.1386333,Atene Skyline,g,,       ,,,       
argosarchus,sp,argo-sp_30,-39.796611,176.194611,"E Ruahine Forest, Swamp Tk (Sunrise)",g,,       ,,,       
argosarchus,sp,argo-sp_31,-39.79608333,174.9269167,Bushy Park,g,,       ,       ,,
argosarchus,sp,argo-sp_32,-39.961,176.0140167,Oroua River,g,,,       ,,
argosarchus,sp,argo-sp_33,-40.00783333,176.1778667,Makaretu,g,,,       ,,
argosarchus,sp,argo-sp_34,-40.0828,175.9066667,Kahikatea Walk,g,,,       ,,
argosarchus,sp,argo-sp_35,-40.37091667,175.6329167,Palmerston North,g,,,       ,,
argosarchus,sp,argo-sp_36,-40.37173333,175.61485,Palmerston North,g,,       ,,,       
argosarchus,sp,argo-sp_37,-40.42016667,176.03155,Waewaepa,g,       ,,,,
argosarchus,sp,argo-sp_38,-40.56205,176.0560667,Puketoi,g,       ,,,,
argosarchus,sp,argo-sp_39,-40.61816667,175.4818833,Mangaore Dam,g,       ,,,,
argosarchus,sp,argo-sp_40,-40.6414,172.4818833,"Mangarakau, West Haven, Nelson",g,,       ,,,
argosarchus,sp,argo-sp_41,-40.70548333,175.6552667,W.A. Miller,g,,,,,
argosarchus,sp,argo-sp_42,-40.7744,175.6173167,Mount Bruce,g,,       ,,,
argosarchus,sp,argo-sp_43,-40.09168333,175.8295167,Ruahine,g,,       ,,,
argosarchus,sp,argo-sp_44,-40.85201667,174.9284167,Kapiti,g,,,,,
argosarchus,sp,argo-sp_45,-40.86075,175.8726833,Bideford,g,,,,,
argosarchus,sp,argo-sp_46,-40.99323333,175.50235,Fensham,g,,,,,
argosarchus,sp,argo-sp_47,-41.06081667,175.6038833,Carterton Res,g,,       ,,,
argosarchus,sp,argo-sp_48,-41.10565,175.2914667,Abbots Creek,g,,      ,,,
argosarchus,sp,argo-sp_49,-41.24568333,174.7945667,Kandallah,g,,       ,,,
argosarchus,sp,argo-sp_50,-41.24596667,174.7968333,"Wellington, Khandallah",g,,,,,
argosarchus,sp,argo-sp_51,-41.25116667,174.7808667,"Ngaio, Wellington",g,,,,,
argosarchus,sp,argo-sp_52,-41.26715,174.7574833,Wiltons Bush,g,,,,,
argosarchus,sp,argo-sp_53,-41.26863333,173.29205,Nelson,g,,,,,
argosarchus,sp,argo-sp_54,-41.30678333,174.8993,"Butterfly Ck, Wellington",g,,,,,
argosarchus,sp,argo-sp_55,-41.34708333,174.9694333,Orongorongo,g,,,,,
argosarchus,sp,argo-sp_56,-41.34795,174.9315167,Catchpool Valley,g,,,,,
argosarchus,sp,argo-sp_57,-41.37463333,173.1032333,"Brightwater, Nelson",g,,,,,
argosarchus,sp,argo-sp_58,-41.0817,175.3552167,Featherston,g,,,,,
argosarchus,sp,argo-sp_59,-41.7999,172.3284,Murchison,g,,,,,
argosarchus,sp,argo-sp_60,-41.96811667,173.9835833,"Kekerengu Valley Rd Site 1, Kaikoura",g,,,,,
argosarchus,sp,argo-sp_61,-41.96981667,173.9862167,"Kekerengu Valley Rd Site 2, Kaikoura",g,,,,,
argosarchus,sp,argo-sp_62,-41.13903333,174.82755,Porirua,g,,,,,
argosarchus,sp,argo-sp_63,-42.28621667,173.7304,Puhipuhi,g,,,,,
argosarchus,sp,argo-sp_64,-42.38351667,173.44845,Kahutara River,g,,,,,
argosarchus,sp,argo-sp_65,-42.4297,171.2958833,Sewell Peak,g,,,,,
argosarchus,sp,argo-sp_66,-42.51403333,173.5024,"Oaro, N.Canty.",g,,,,,
argosarchus,sp,argo-sp_67,-42.70361667,173.8751833,Blackbirch Stream,g,,,,,
argosarchus,sp,argo-sp_68,-42.763,171.4333833,Taipo River Valley,g,,,,,
argosarchus,sp,argo-sp_69,-43.63211667,172.62575,Kennedys Bush,g,,,,,
argosarchus,sp,argo-sp_70,-43.76636667,172.7146,Prices Bush,g,,,,,
argosarchus,sp,argo-sp_71,-43.8897,171.26045,Peel Forest,g,,,,,
argosarchus,sp,argo-sp_72,-44.0012,171.1505333,Waihi Gorge,g,,,,,
argosarchus,sp,argo-sp_73,-44.1844,169.2662167,Brady Creek,g,,,,,
argosarchus,sp,argo-sp_74,-44.34408333,170.8413167,Pareora Reserve,g,,,,,
argosarchus,sp,argo-sp_75,-44.44105,169.2712,Kidds Bush,g,,,,,
argosarchus,sp,argo-sp_76,-44.66473333,170.9727333,Gunns Bush,g,,,,,
argosarchus,sp,argo-sp_77,-44.6796,167.96325,Cleddau Valley,g,,,,,
argosarchus,sp,argo-sp_78,-44.92313333,168.0406167,Eglinton,g,,,,,
argosarchus,sp,argo-sp_79,-45.43998333,167.68555,Te Anau Control Gates,g,,,,,
argosarchus,sp,argo-sp_80,-45.06666667,168.5454167,Twelve Mile Delta,g,,,,,
argosarchus,sp,argo-sp_81,-45.80799,167.52545,Lk Monowai Rd,g,,,,,
argosarchus,sp,argo-sp_82,-45.88163333,170.5508667,The Cove,g,,,,,
argosarchus,sp,argo-sp_83,-45.92663333,170.0296833,Waipori Falls,g,,,,,
argosarchus,sp,argo-sp_84,-45.99021667,167.3832167,Lake Hauroko,g,,,,,
argosarchus,sp,argo-sp_85,-46.0065,168.4326,The Cone Forest,g,,,,,
argosarchus,sp,argo-sp_86,-46.35366667,168.0074333,Riverton Bridge,g,,,,,
argosarchus,sp,argo-sp_87,-37.14344645,175.6596612,Corromandel,g,,,,,
argosarchus,sp,argo-sp_88,-37.42871268,175.7283339,Karangahake Gorge,g,,,,,