genus,species,id,lat,long,locality
spinotectarchus,sp,spino_sp_1,-34.43437308,172.8935473,Unuwhao
spinotectarchus,sp,spino_sp_2,-34.47249999,172.7644167,Kauri Bush Te Paki
spinotectarchus,sp,spino_sp_3,-34.49139999,172.8365167,"Kohuranaki, Te Paki"
spinotectarchus,sp,spino_sp_4,-35.06913448,173.4440351,Paranui
spinotectarchus,sp,spino_sp_5,-34.94771666,173.5447333,Whakaangi
spinotectarchus,sp,spino_sp_6,-35.12214999,173.5652667,"Fern Flat Rd, Otangaroa Forest"
spinotectarchus,sp,spino_sp_7,-35.1859,173.7822333,"Puketi Forest, Manginangina Kauri Walk"
spinotectarchus,sp,spino_sp_8,-35.16338332,173.26995,"East Herekino, Kaitaia Walkway"
spinotectarchus,sp,spino_sp_9,-35.20879999,173.19925,Herekino West
spinotectarchus,sp,spino_sp_10,-35.19,173.4556666,Mangamuka Gorge Walkway
spinotectarchus,sp,spino_sp_11,-35.19368332,173.4807833,Mangamuka Gorge picnic area
spinotectarchus,sp,spino_sp_12,-35.72116666,173.6501666,Trounson Kauri Park
spinotectarchus,sp,spino_sp_13,-35.30195,174.2335167,"Ngaiotonga Scenic Reserve, Kauri Grove"
spinotectarchus,sp,spino_sp_14,-35.36931666,173.2833667,Warawara Forest
spinotectarchus,sp,spino_sp_15,-35.65655,173.5632667,"Waipoua Forest, Hill south of DoC Forest HQ"
spinotectarchus,sp,spino_sp_16,-35.53055554,173.4408337,Waima Forest
spinotectarchus,sp,spino_sp_17,-35.85433333,174.5776833,Bream Head
spinotectarchus,sp,spino_sp_18,-35.88696362,174.7773494,"Coppermine Isl, Hen and Chickens"
spinotectarchus,sp,spino_sp_19,-36.36083332,174.6133333,"Dome Forest Walkway, north of Warkworth"
spinotectarchus,sp,spino_sp_20,-36.46988333,174.59815,Moir Hill
spinotectarchus,sp,spino_sp_21,-36.55731839,174.4763886,"Omeru, Kaipara"
spinotectarchus,sp,spino_sp_22,-36.94265,174.4759333,"Maungaroa Lookout Tk, Piha"
spinotectarchus,sp,spino_sp_23,-37.01132357,174.5383973,Don MacLean Trk
spinotectarchus,sp,spino_sp_24,-37.04899999,175.2536667,"Waharau Reg Park, Hunua Ranges"
spinotectarchus,sp,spino_sp_25,-36.29679528,175.5262979,"Great Barrier Island, Little Windy Hill"
spinotectarchus,sp,spino_sp_26,-36.20833332,175.0716667,"Little Barrier Island, Water Bottle Track"
spinotectarchus,sp,spino_sp_27,-36.21816666,175.05945,"Little Barrier Island, Start of Valley Trk"
spinotectarchus,sp,spino_sp_28,-36.22083333,175.0616666,"Little Barrier Island, Shag Track"
spinotectarchus,sp,spino_sp_29,-36.98941666,175.5876666,"Start of Waiomu Walk, Coroglen-Tapu Rd, 10.9km East of Tapu"
spinotectarchus,sp,spino_sp_30,-36.34516666,174.6141667,"Dome Forest, Waiwhu Rd"
spinotectarchus,sp,spino_sp_31,-37.21833332,175.0266666,"Mt William Scenic Reserve, Kauri Track"
spinotectarchus,sp,spino_sp_32,-37.52141665,175.7305167,"Mt Te Aroha, Tui mine"
spinotectarchus,sp,spino_sp_33,-37.53448926,175.7415085,"Mt Te Aroha, summitt"
spinotectarchus,sp,spino_sp_34,-37.85078357,174.7814038,"Pirongia State Forest Pk, Mt Karioi, Waireke Track"
spinotectarchus,sp,spino_sp_35,-37.54364999,175.8716167,"Kaimai Ra, Lindemann lookout, end of Lindemann Rd"
spinotectarchus,sp,spino_sp_36,-38.10164989,176.4308375,Lake Okataina
spinotectarchus,sp,spino_sp_37,-38.47083332,175.5721667,"Pureora Forest, Waitaramoa Rd, Track behind Pureora Lodge"
spinotectarchus,sp,spino_sp_38,-35.27558333,173.6857666,"Puketi Forest, Waipapa River Trk"
spinotectarchus,sp,spino_sp_39,-36.45841666,174.4670333,Mount Auckland
spinotectarchus,sp,spino_sp_40,-35.89374887,174.136563,Tangihua
spinotectarchus,sp,spino_sp_41,-37.1485657,175.673468,"Summit Kopu-Hikuai, Coromandel Range"
spinotectarchus,sp,spino_sp_42,-35.19692777,173.798575,Omahuta (SM15)
spinotectarchus,sp,spino_sp_43,-35.19223333,173.73315,"Puketi Forest, Onekura Tk"
spinotectarchus,sp,spino_sp_44,-36.86355833,174.4736805,Matuku
spinotectarchus,sp,spino_sp_45,-35.56228023,174.4992371,Whale Bay
spinotectarchus,sp,spino_sp_46,-35.7092691,174.3319701,Dobbies Park
spinotectarchus,sp,spino_sp_47,-36.65211079,174.7201391,Okura Walkway